chr	start	end	seq	strand	read_count	mapq	read_count_1	mapq_1	read_count_2	mapq_2	experiment	replicate	genotype	launch_pad_location	insert	sample_type	sorted_gate	pool_nr	sample_name	ctrl_lib_nr	name	genotype_for_title
chr4	84104191	84104192	TA	+	1	40	0	-	1	40	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	84633107	84633108	TA	-	2	42	0	-	2	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	84633111	84633112	TA	-	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	85232602	85232603	TA	+	1	42	1	42	0	-	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	86920989	86920990	TA	-	1	40	0	-	1	40	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	88225359	88225360	TA	+	1	42	1	42	0	-	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	88301707	88301708	TA	-	1	24	0	-	1	24	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	88410064	88410065	TA	+	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr1	134631651	134631652	TA	-	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	89462529	89462530	TA	-	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	90745148	90745149	TA	-	1	42	1	42	0	-	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	92420325	92420326	TA	+	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	92582381	92582382	TA	-	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	92788652	92788653	TA	+	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	93905320	93905321	TA	+	1	12	0	-	1	12	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	94502519	94502520	TA	+	1	24	0	-	1	24	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	95232698	95232699	TA	-	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	95626771	95626772	TA	+	1	11	0	-	1	11	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	96803291	96803292	TA	+	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr1	135318237	135318238	TA	+	7	42	0	-	7	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	97548309	97548310	TA	+	1	42	1	42	0	-	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	97591445	97591446	TA	+	1	23	0	-	1	23	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	102011669	102011670	TA	+	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	102184826	102184827	TA	+	2	41	1	42	1	40	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	102863561	102863562	TA	+	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	105279490	105279491	TA	-	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	105834321	105834322	TA	-	1	42	1	42	0	-	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	106209433	106209434	TA	+	1	42	1	42	0	-	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	106939194	106939195	TA	+	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	108538108	108538109	TA	+	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr1	136341867	136341868	TA	+	1	24	0	-	1	24	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	108996315	108996316	TA	-	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	114031586	114031587	TA	-	1	40	0	-	1	40	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	114541469	114541470	TA	-	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	115880089	115880090	TA	+	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	116261115	116261116	TA	+	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	117089099	117089100	TT	-	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	119047212	119047213	TA	+	1	24	0	-	1	24	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	119298540	119298541	TA	+	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	119945714	119945715	GA	+	1	26	1	26	0	-	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	121065301	121065302	TA	-	1	42	1	42	0	-	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr1	136554010	136554011	TA	-	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	123003434	123003435	TA	+	1	40	0	-	1	40	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	125314418	125314419	TA	-	1	23	0	-	1	23	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	125969532	125969533	TA	+	1	40	0	-	1	40	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	126654751	126654752	TA	+	1	40	0	-	1	40	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	127042946	127042947	TA	-	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	128149031	128149032	TA	-	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	128505821	128505822	TA	-	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	128523215	128523216	TA	+	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	128674674	128674675	TA	-	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	129338437	129338438	TA	-	1	42	1	42	0	-	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr1	138223868	138223869	TA	-	1	42	1	42	0	-	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	129599594	129599595	TA	+	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	129651505	129651506	TA	-	1	42	1	42	0	-	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	130736353	130736354	TA	+	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	131554430	131554431	TA	+	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	131755985	131755986	TA	-	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	133272591	133272592	TA	-	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	133684477	133684478	TA	+	1	42	1	42	0	-	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	134290737	134290738	TA	-	1	15	0	-	1	15	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	134931948	134931949	TA	+	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	135074956	135074957	TA	-	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr1	13414983	13414984	TA	+	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr1	140632413	140632414	TA	+	1	42	1	42	0	-	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	136058301	136058302	TA	-	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	137075109	137075110	TA	-	2	24	0	-	2	24	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	137820185	137820186	TA	+	1	24	0	-	1	24	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	141788594	141788595	TA	+	3	42	1	42	2	41	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	142050661	142050662	TA	-	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	145434342	145434343	TA	-	1	26	0	-	1	26	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	146050000	146050001	TA	-	1	21	0	-	1	21	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	147475532	147475533	TA	-	1	11	0	-	1	11	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	148947967	148947968	TA	+	1	23	0	-	1	23	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	149013314	149013315	TA	-	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr1	142382310	142382311	TA	-	1	40	1	40	0	-	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	149369533	149369534	TA	+	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	150791337	150791338	TA	+	1	24	0	-	1	24	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	151275034	151275035	TA	-	1	40	0	-	1	40	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	153836026	153836027	TA	+	1	40	0	-	1	40	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	154309542	154309543	TA	-	1	24	0	-	1	24	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	154351165	154351166	TA	+	1	40	0	-	1	40	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	155889560	155889561	TA	+	1	24	0	-	1	24	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr5	3346046	3346047	TA	+	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr5	3593039	3593040	TA	+	1	31	1	31	0	-	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr5	3636172	3636173	TA	+	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr1	147518291	147518292	TA	+	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr5	3768693	3768694	TA	+	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr5	4499759	4499760	TA	-	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr5	5154712	5154713	TA	+	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr5	5654277	5654278	TA	-	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr5	5699322	5699323	TA	+	1	24	0	-	1	24	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr5	6568046	6568047	TA	-	1	24	0	-	1	24	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr5	8333202	8333203	TA	-	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
