chr	start	end	seq	strand	read_count	mapq	read_count_1	mapq_1	read_count_2	mapq_2	sample	experiment	launch_pad_location	genotype	insert	cell_line	replicate	sorted_gate	sample_type	pool_nr	CBS_motif_orientation
chr3	34946229	34946230	TA	-	1	16	0	-	1	16	MK01_ctrl_10	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	10	RV
chr3	35099055	35099056	TA	-	1	42	0	-	1	42	MK01_ctrl_10	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	10	RV
chr3	35115005	35115006	TA	-	2	42	0	-	2	42	MK01_ctrl_10	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	10	RV
chr3	35172565	35172566	TA	-	2	42	2	42	0	-	MK01_ctrl_10	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	10	RV
chr3	123596887	123596888	TA	-	1	23	1	23	0	-	MK01_ctrl_10	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	10	RV
chr4	88637947	88637948	TA	-	1	42	0	-	1	42	MK01_ctrl_10	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	10	RV
chr5	13074125	13074126	TA	+	1	23	0	-	1	23	MK01_ctrl_10	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	10	FW
chr1	151711354	151711355	TA	+	1	23	1	23	0	-	MK01_ctrl_10	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	10	FW
chr5	16776032	16776033	TA	-	1	23	0	-	1	23	MK01_ctrl_10	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	10	RV
chr5	55922380	55922381	TA	+	1	23	1	23	0	-	MK01_ctrl_10	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	10	FW
chr6	21305017	21305018	TA	-	1	42	0	-	1	42	MK01_ctrl_10	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	10	RV
chr8	27966316	27966317	TA	-	1	42	0	-	1	42	MK01_ctrl_10	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	10	RV
chr8	60958773	60958774	TA	+	1	40	0	-	1	40	MK01_ctrl_10	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	10	FW
chr9	121888391	121888392	TA	-	1	23	0	-	1	23	MK01_ctrl_10	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	10	RV
chr11	33634759	33634760	GT	+	1	23	1	23	0	-	MK01_ctrl_10	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	10	FW
chr3	34118570	34118571	TA	+	1	42	0	-	1	42	MK01_ctrl_10	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	10	FW
chr3	34582799	34582800	TA	+	1	42	0	-	1	42	MK01_ctrl_10	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	10	FW
chr3	34582803	34582804	TA	+	2	41	0	-	2	41	MK01_ctrl_10	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	10	FW
chr3	34643961	34643962	TA	+	620	42	265	42	355	42	MK01_ctrl_10	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	10	FW
chr3	34644391	34644392	TA	+	2	33	0	-	2	33	MK01_ctrl_10	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	10	FW
chr3	34644837	34644838	TA	+	3	40	3	40	0	-	MK01_ctrl_10	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	10	FW
chr3	34687485	34687486	TA	-	3	42	3	42	0	-	MK01_ctrl_10	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	10	RV
chr2	146329860	146329861	TA	+	1	23	0	-	1	23	MK01_ctrl_2	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	2	FW
chr3	35105923	35105924	TA	+	1	42	1	42	0	-	MK01_ctrl_2	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	2	FW
chr3	35257934	35257935	TA	+	2	42	2	42	0	-	MK01_ctrl_2	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	2	FW
chr3	35257939	35257940	CA	+	1	42	1	42	0	-	MK01_ctrl_2	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	2	FW
chr3	99099619	99099620	TC	-	1	15	1	15	0	-	MK01_ctrl_2	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	2	RV
chr4	126393401	126393402	TA	+	1	14	1	14	0	-	MK01_ctrl_2	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	2	FW
chr5	149176040	149176041	TA	-	1	42	0	-	1	42	MK01_ctrl_2	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	2	RV
chr6	143771346	143771347	TA	-	1	11	0	-	1	11	MK01_ctrl_2	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	2	RV
chr9	81121140	81121141	TA	+	1	42	0	-	1	42	MK01_ctrl_2	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	2	FW
chr11	104692585	104692586	TA	-	1	42	0	-	1	42	MK01_ctrl_2	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	2	RV
chr16	62997662	62997663	TA	+	1	42	1	42	0	-	MK01_ctrl_2	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	2	FW
chr3	21998132	21998133	TA	-	1	40	1	40	0	-	MK01_ctrl_2	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	2	RV
chr17	44360859	44360860	TA	+	1	42	0	-	1	42	MK01_ctrl_2	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	2	FW
chr18	65235875	65235876	TA	-	1	42	0	-	1	42	MK01_ctrl_2	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	2	RV
chr3	27547251	27547252	TA	-	1	40	0	-	1	40	MK01_ctrl_2	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	2	RV
chr3	32864126	32864127	TA	+	3	42	3	42	0	-	MK01_ctrl_2	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	2	FW
chr3	34450730	34450731	TA	+	2	42	2	42	0	-	MK01_ctrl_2	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	2	FW
chr3	34643961	34643962	TA	+	650	42	307	42	343	42	MK01_ctrl_2	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	2	FW
chr3	34646495	34646496	TA	+	1	42	0	-	1	42	MK01_ctrl_2	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	2	FW
chr3	34759340	34759341	TA	-	1	42	0	-	1	42	MK01_ctrl_2	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	2	RV
chr3	34770916	34770917	TA	+	3	40	0	-	3	40	MK01_ctrl_2	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	2	FW
chr1	129961277	129961278	AC	-	1	42	1	42	0	-	MK01_ctrl_3	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	3	RV
chr3	35457119	35457120	TA	+	3	42	3	42	0	-	MK01_ctrl_3	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	3	FW
chr3	35762870	35762871	TA	-	2	41	2	41	0	-	MK01_ctrl_3	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	3	RV
chr3	123596887	123596888	TA	-	1	23	1	23	0	-	MK01_ctrl_3	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	3	RV
chr4	92471749	92471750	TA	-	1	24	0	-	1	24	MK01_ctrl_3	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	3	RV
chr6	74749938	74749939	TA	-	1	40	0	-	1	40	MK01_ctrl_3	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	3	RV
chr6	143771346	143771347	TA	-	1	11	0	-	1	11	MK01_ctrl_3	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	3	RV
chr7	43101463	43101464	TA	-	1	24	0	-	1	24	MK01_ctrl_3	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	3	RV
chr8	110495078	110495079	TA	+	1	24	0	-	1	24	MK01_ctrl_3	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	3	FW
chr8	120737409	120737410	TA	+	1	42	1	42	0	-	MK01_ctrl_3	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	3	FW
chr9	39575898	39575899	TT	-	1	42	0	-	1	42	MK01_ctrl_3	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	3	RV
chr3	9032213	9032214	TA	-	1	42	0	-	1	42	MK01_ctrl_3	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	3	RV
chr9	59667726	59667727	TA	-	1	15	1	15	0	-	MK01_ctrl_3	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	3	RV
chr10	108016333	108016334	TA	-	1	42	0	-	1	42	MK01_ctrl_3	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	3	RV
chr13	21962924	21962925	TA	+	1	40	0	-	1	40	MK01_ctrl_3	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	3	FW
chr13	58728218	58728219	TA	+	1	40	0	-	1	40	MK01_ctrl_3	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	3	FW
chr16	5222680	5222681	TA	-	1	24	0	-	1	24	MK01_ctrl_3	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	3	RV
chrX	86112747	86112748	TA	+	1	23	0	-	1	23	MK01_ctrl_3	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	3	FW
chrX	88303904	88303905	TA	-	1	23	1	23	0	-	MK01_ctrl_3	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	3	RV
chr3	34233279	34233280	TA	+	3	42	0	-	3	42	MK01_ctrl_3	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	3	FW
chr3	34450730	34450731	TA	+	1	40	0	-	1	40	MK01_ctrl_3	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	3	FW
chr3	34643961	34643962	TA	+	738	42	334	42	404	42	MK01_ctrl_3	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	3	FW
chr3	34645335	34645336	TA	+	2	41	0	-	2	41	MK01_ctrl_3	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	3	FW
chr3	34672065	34672066	TA	-	2	41	2	41	0	-	MK01_ctrl_3	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	3	RV
chr3	34837247	34837248	TG	+	1	42	0	-	1	42	MK01_ctrl_3	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	3	FW
chr3	34837250	34837251	TA	+	2	42	0	-	2	42	MK01_ctrl_3	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	3	FW
chr1	144997686	144997687	TA	-	1	40	0	-	1	40	MK01_ctrl_4	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	4	RV
chr3	34645932	34645933	TA	-	1	42	0	-	1	42	MK01_ctrl_4	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	4	RV
chr3	34713719	34713720	TA	-	4	41	4	41	0	-	MK01_ctrl_4	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	4	RV
chr3	34996641	34996642	TA	+	1	42	0	-	1	42	MK01_ctrl_4	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	4	FW
chr3	35572420	35572421	TA	+	1	42	1	42	0	-	MK01_ctrl_4	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	4	FW
chr3	123596887	123596888	TA	-	1	24	1	24	0	-	MK01_ctrl_4	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	4	RV
chr4	18820396	18820397	TA	-	1	42	0	-	1	42	MK01_ctrl_4	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	4	RV
chr6	73589161	73589162	TA	+	1	40	0	-	1	40	MK01_ctrl_4	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	4	FW
chr8	67307954	67307955	TA	+	1	24	0	-	1	24	MK01_ctrl_4	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	4	FW
chr8	114250301	114250302	TA	+	1	24	0	-	1	24	MK01_ctrl_4	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	4	FW
chr9	36485687	36485688	TA	+	1	12	1	12	0	-	MK01_ctrl_4	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	4	FW
chr2	142173001	142173002	TA	+	1	40	1	40	0	-	MK01_ctrl_4	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	4	FW
chr11	20875116	20875117	TA	-	1	23	0	-	1	23	MK01_ctrl_4	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	4	RV
chr14	63670039	63670040	TA	+	1	24	1	24	0	-	MK01_ctrl_4	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	4	FW
chr16	4332788	4332789	NN	+	2	33	2	33	0	-	MK01_ctrl_4	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	4	FW
chr16	89511030	89511031	TA	+	1	40	0	-	1	40	MK01_ctrl_4	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	4	FW
chr17	84755869	84755870	TA	-	1	24	0	-	1	24	MK01_ctrl_4	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	4	RV
chr19	37319591	37319592	TA	+	1	16	1	16	0	-	MK01_ctrl_4	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	4	FW
chrX	129976361	129976362	TA	-	1	40	0	-	1	40	MK01_ctrl_4	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	4	RV
chrX	139265849	139265850	TA	-	1	11	1	11	0	-	MK01_ctrl_4	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	4	RV
chr3	14088978	14088979	TA	+	1	23	0	-	1	23	MK01_ctrl_4	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	4	FW
chr3	15000008	15000009	TA	+	1	42	0	-	1	42	MK01_ctrl_4	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	4	FW
chr3	30288470	30288471	TA	+	2	42	2	42	0	-	MK01_ctrl_4	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	4	FW
chr3	34514512	34514513	TA	+	2	42	2	42	0	-	MK01_ctrl_4	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	4	FW
chr3	34640260	34640261	TA	-	1	42	0	-	1	42	MK01_ctrl_4	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	4	RV
chr3	34643961	34643962	TA	+	662	42	306	42	356	42	MK01_ctrl_4	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	4	FW
chr3	34645424	34645425	TA	-	1	42	1	42	0	-	MK01_ctrl_4	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	4	RV
chr1	22523993	22523994	TA	-	1	40	0	-	1	40	MK01_ctrl_5	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	5	RV
chr3	34978089	34978090	TA	-	3	42	0	-	3	42	MK01_ctrl_5	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	5	RV
chr3	35037489	35037490	TA	-	4	42	4	42	0	-	MK01_ctrl_5	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	5	RV
chr3	35077734	35077735	TA	+	1	42	0	-	1	42	MK01_ctrl_5	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	5	FW
chr3	35124373	35124374	TA	-	1	42	1	42	0	-	MK01_ctrl_5	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	5	RV
chr3	35142578	35142579	TA	+	1	42	1	42	0	-	MK01_ctrl_5	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	5	FW
chr3	35142581	35142582	TA	+	1	42	1	42	0	-	MK01_ctrl_5	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	5	FW
chr3	35162746	35162747	TA	-	6	42	4	41	2	42	MK01_ctrl_5	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	5	RV
chr3	36342253	36342254	TA	+	1	38	0	-	1	38	MK01_ctrl_5	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	5	FW
